State,Brewed Coffee,Cold Brew,Latte,Tea,Favorite,Second,Third,Total Coffee Shops,% Increase 2023-2024,Local/Single Owner Shops,Population,Industry Revenue,% Local/Single Owner Shops,Capita per Coffee Shop
Iowa,2.7,5,5.28,3.38,Tea,Brewed,Latte,833,,,3.241,27.7,,3891
Louisiana,3.26,5.33,5.6,3.9,Tea,Brewed,Latte,1197,2.66,415,4.598,571.5,34.67,3841
Nebraska,2.12,5.07,5.49,3,Brewed,Tea,Latte,540,,,2.005,287.1,,3713
South Carolina,3.17,4.72,5.36,3.85,Tea,Brewed,Latte,1479,4.75,497,5.479,523.6,33.60,3705
Virginia,3.08,5.04,5.55,3.71,Tea,Brewed,Latte,2576,2.98,702,8.811,1600,27.25,3420
Delaware,2.97,4.77,5.43,3.91,Tea,Brewed,Latte,312,1.4,71,1.052,8.9,22.76,3372
Michigan,2.83,5.09,5.53,3.67,Brewed,Tea,Latte,3105,3.42,936,10.14,84.7,30.14,3266
North Carolina,2.94,4.82,5.44,3.61,Tea,Brewed,Latte,3430,3.94,1218,11.05,1400,35.51,3222
Ohio,2.79,5,5.3,3.54,Tea,Brewed,Latte,3798,3.29,980,11.88,34.4,25.80,3128
Missouri,2.77,5.54,5.57,3.62,Tea,Brewed,Latte,2024,5.26,768,6.245,724,37.94,3085
Kansas,2.59,4.63,5.09,3.27,Tea,Brewed,Latte,1009,4.36,400,2.971,29,39.64,2944
Massachusetts,3.49,4.97,5.35,3.91,Brewed,Tea,Latte,2897,,,7.136,3400,,2463
Oregon,3.21,5.4,5.23,3.86,Tea,Brewed,Mocha,1946,,,4.272,1300,,2195
Maine,3.08,4.77,5.35,3.75,Brewed,Tea,Latte,651,,,1.405,393.6,,2158