State,Brewed Coffee,Cold Brew,Latte,Tea,Favorite,Second,Third,Total Coffee Shops,% Increase 2023-2024,Local/Single Owner Shops,Population,Industry Revenue
Massachusetts,3.49,4.97,5.35,3.91,Brewed,Tea,Latte,2897,,,7.136,3400
Oregon,3.21,5.4,5.23,3.86,Tea,Brewed,Mocha,1946,,,4.272,1300
Virginia,3.08,5.04,5.55,3.71,Tea,Brewed,Latte,2576,2.98,702,8.811,1600
Delaware,2.97,4.77,5.43,3.91,Tea,Brewed,Latte,312,1.4,71,1.052,8.9
North Carolina,2.94,4.82,5.44,3.61,Tea,Brewed,Latte,3430,3.94,1218,11.05,1400
Michigan,2.83,5.09,5.53,3.67,Brewed,Tea,Latte,3105,3.42,936,10.14,84.7
Missouri,2.77,5.54,5.57,3.62,Tea,Brewed,Latte,2024,5.26,768,6.245,724
Wisconsin,2.76,5,5.28,3.38,Brewed,Tea,Latte,,,,5.961,
Iowa,2.7,5,5.28,3.38,Tea,Brewed,Latte,833,,,3.241,27.7
Nebraska,2.12,5.07,5.49,3,Brewed,Tea,Latte,540,,,2.005,287.1